driver_id,coef_rapm,target_definition,alpha,decay,season,round,race_name,race_order,n_train_rows,n_train_races
hulkenberg,0.4300515951675366,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
kevin_magnussen,0.05433672047103322,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
leclerc,-0.6343499014474344,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
max_verstappen,1.019279465758966,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
ocon,0.06933798039953254,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
perez,-0.5104521262724223,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
raikkonen,1.1443446739442076,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
ricciardo,1.0726787258181385,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
sainz,-0.47703092706375705,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
sirotkin,-1.613924438471454,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
stroll,-1.0649403923630276,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
vandoorne,-1.3736733706839244,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
vettel,1.504373307858713,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
alonso,0.6815571334866292,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
bottas,0.9043606028811795,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
brendon_hartley,-1.088842994209748,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
ericsson,-1.0769770599974853,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
gasly,-0.4351145184981075,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
grosjean,-0.4833046709784129,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
hamilton,1.8539531261226991,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
hulkenberg,0.20870192409007027,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
kevin_magnussen,-0.19232152561825347,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
leclerc,-0.5969900217360319,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
max_verstappen,1.0265156415861723,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
ocon,0.15149742881575692,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
perez,-0.45435690397495804,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
raikkonen,1.238525653514455,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
ricciardo,1.0604563000427982,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
sainz,-0.3636555420887976,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
sirotkin,-1.5308196246731693,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
stroll,-0.9642358095622543,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
vandoorne,-1.4095797566231207,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
vettel,1.4706306174205817,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
alonso,0.7825498183597799,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
bottas,0.9348423139916328,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
brendon_hartley,-1.2780782444568237,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
ericsson,-1.0441459385616407,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
gasly,-0.4028430951296604,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
grosjean,-0.5782408823192887,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
hamilton,1.964856839258314,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
hulkenberg,0.16654228553441933,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
kevin_magnussen,-0.36396770816872687,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
leclerc,-0.49069626910244213,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
max_verstappen,1.1963289054428254,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
ocon,0.2584391720118293,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
perez,-0.6389129533693065,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
raikkonen,1.23355469409986,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
ricciardo,1.0137719320268916,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
sainz,-0.26347384403776586,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
sirotkin,-1.6946196467128003,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
stroll,-0.9206461483840179,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
vandoorne,-1.4252280156472776,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
vettel,1.5499667851641987,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
alonso,0.6120132400607949,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
bottas,1.0233154180853994,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
brendon_hartley,-1.2375540910779586,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
ericsson,-1.1167807517548438,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
gasly,-0.37583886050875065,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
grosjean,-0.6021050297395046,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
hamilton,2.033454774746411,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
hulkenberg,0.1440693939880734,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
kevin_magnussen,-0.25954835715347474,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
leclerc,-0.3034594361095447,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
max_verstappen,1.229997893269585,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
ocon,0.2723434307218524,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
perez,-0.6112799878755821,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
raikkonen,1.2586760898957696,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
ricciardo,1.0002896757215214,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
