RaceID,season,round,race_name,driver_id,constructor_id,finish_position,is_dnf,safety_car_flag,qualifying_position,constructor_coef_rapm,recent_form_5,driver_constructor_synergy,constructor_wins_total,driver_coef_rapm,track_complexity,tire_compound_start,season_factor,avg_pit_stops_circuit,constructor_dnf_rate,grid_penalty,altitude_m
colapinto_2026_3,2026,3,Japanese Grand Prix,colapinto,alpine,16.0,False,1,15,-1.707451681972125,14.933333333333334,-15.5625,1.0,-1.7238800074863967,0.4474979062596848,2.0,2026,1.511764705882353,0.0486725663716814,0,5.0
driver_11_2026_2026_3,2026,3,Japanese Grand Prix,driver_11_2026,unknown_2026,17.0,False,1,19,0.0,0.0,0.0,0.0,0.0,0.4474979062596848,2.0,2026,1.511764705882353,0.0,0,5.0
alonso_2026_3,2026,3,Japanese Grand Prix,alonso,aston_martin,18.0,False,1,21,-0.8090657766024288,9.866666666666667,-8.639344262295081,0.0,1.8303384543233945,0.4474979062596848,2.0,2026,1.511764705882353,0.0177777777777777,0,5.0
driver_77_2026_2026_3,2026,3,Japanese Grand Prix,driver_77_2026,unknown_2026,19.0,False,1,20,0.0,0.0,0.0,0.0,0.0,0.4474979062596848,3.0,2026,1.511764705882353,0.0,0,5.0
albon_2026_3,2026,3,Japanese Grand Prix,albon,williams,20.0,False,1,17,-2.464089130575294,11.8,-11.371428571428572,0.0,1.2109156298702817,0.4474979062596848,2.0,2026,1.511764705882353,0.0495626822157434,0,5.0
antonelli_2026_6,2026,6,Miami Grand Prix,antonelli,mercedes,1.0,False,1,1,4.760011694264114,4.533333333333333,-7.842105263157895,55.0,-1.5999540096311955,0.5461030769819427,2.0,2026,1.6477943728098527,0.0203488372093023,0,7.0
max_verstappen_2026_6,2026,6,Miami Grand Prix,max_verstappen,red_bull,2.0,False,1,4,2.460319891785691,1.6666666666666667,-2.564935064935065,74.0,4.537532083607752,0.5461030769819427,2.0,2026,1.6477943728098527,0.0610465116279069,0,7.0
piastri_2026_6,2026,6,Miami Grand Prix,piastri,mclaren,3.0,False,1,7,1.9784306113959176,3.933333333333333,-5.703125,21.0,2.552069125286265,0.5461030769819427,2.0,2026,1.6477943728098527,0.0552325581395348,0,7.0
russell_2026_6,2026,6,Miami Grand Prix,russell,mercedes,4.0,False,1,5,4.760011694264114,4.666666666666667,-5.011904761904762,55.0,0.1446739605129134,0.5461030769819427,2.0,2026,1.6477943728098527,0.0203488372093023,0,7.0
driver_3_2026_2026_6,2026,6,Miami Grand Prix,driver_3_2026,unknown_2026,5.0,False,1,2,0.0,0.0,0.0,0.0,0.0,0.5461030769819427,2.0,2026,1.6477943728098527,0.0,0,7.0
