RaceID,season,round,driver_id,constructor_id,finish_position
vettel_2019_6,2019,6,vettel,ferrari,2
bottas_2019_6,2019,6,bottas,mercedes,3
max_verstappen_2019_6,2019,6,max_verstappen,red_bull,4
gasly_2019_6,2019,6,gasly,red_bull,5
sainz_2019_6,2019,6,sainz,mclaren,6
kvyat_2019_6,2019,6,kvyat,toro_rosso,7
albon_2019_6,2019,6,albon,toro_rosso,8
ricciardo_2019_6,2019,6,ricciardo,renault,9
grosjean_2019_6,2019,6,grosjean,haas,10
norris_2019_6,2019,6,norris,mclaren,11
perez_2019_6,2019,6,perez,racing_point,12
hulkenberg_2019_6,2019,6,hulkenberg,renault,13
kevin_magnussen_2019_6,2019,6,kevin_magnussen,haas,14
russell_2019_6,2019,6,russell,williams,15
stroll_2019_6,2019,6,stroll,racing_point,16
raikkonen_2019_6,2019,6,raikkonen,alfa,17
kubica_2019_6,2019,6,kubica,williams,18
giovinazzi_2019_6,2019,6,giovinazzi,alfa,19
hamilton_2019_7,2019,7,hamilton,mercedes,1
vettel_2019_7,2019,7,vettel,ferrari,2
leclerc_2019_7,2019,7,leclerc,ferrari,3
bottas_2019_7,2019,7,bottas,mercedes,4
max_verstappen_2019_7,2019,7,max_verstappen,red_bull,5
ricciardo_2019_7,2019,7,ricciardo,renault,6
hulkenberg_2019_7,2019,7,hulkenberg,renault,7
gasly_2019_7,2019,7,gasly,red_bull,8
stroll_2019_7,2019,7,stroll,racing_point,9
kvyat_2019_7,2019,7,kvyat,toro_rosso,10
sainz_2019_7,2019,7,sainz,mclaren,11
perez_2019_7,2019,7,perez,racing_point,12
giovinazzi_2019_7,2019,7,giovinazzi,alfa,13
grosjean_2019_7,2019,7,grosjean,haas,14
raikkonen_2019_7,2019,7,raikkonen,alfa,15
russell_2019_7,2019,7,russell,williams,16
kevin_magnussen_2019_7,2019,7,kevin_magnussen,haas,17
kubica_2019_7,2019,7,kubica,williams,18
hamilton_2019_8,2019,8,hamilton,mercedes,1
bottas_2019_8,2019,8,bottas,mercedes,2
leclerc_2019_8,2019,8,leclerc,ferrari,3
max_verstappen_2019_8,2019,8,max_verstappen,red_bull,4
vettel_2019_8,2019,8,vettel,ferrari,5
sainz_2019_8,2019,8,sainz,mclaren,6
raikkonen_2019_8,2019,8,raikkonen,alfa,7
hulkenberg_2019_8,2019,8,hulkenberg,renault,8
norris_2019_8,2019,8,norris,mclaren,9
gasly_2019_8,2019,8,gasly,red_bull,10
ricciardo_2019_8,2019,8,ricciardo,renault,11
perez_2019_8,2019,8,perez,racing_point,12
stroll_2019_8,2019,8,stroll,racing_point,13
kvyat_2019_8,2019,8,kvyat,toro_rosso,14
albon_2019_8,2019,8,albon,toro_rosso,15
giovinazzi_2019_8,2019,8,giovinazzi,alfa,16
kevin_magnussen_2019_8,2019,8,kevin_magnussen,haas,17
kubica_2019_8,2019,8,kubica,williams,18
russell_2019_8,2019,8,russell,williams,19
max_verstappen_2019_9,2019,9,max_verstappen,red_bull,1
leclerc_2019_9,2019,9,leclerc,ferrari,2
bottas_2019_9,2019,9,bottas,mercedes,3
vettel_2019_9,2019,9,vettel,ferrari,4
hamilton_2019_9,2019,9,hamilton,mercedes,5
norris_2019_9,2019,9,norris,mclaren,6
gasly_2019_9,2019,9,gasly,red_bull,7
sainz_2019_9,2019,9,sainz,mclaren,8
raikkonen_2019_9,2019,9,raikkonen,alfa,9
giovinazzi_2019_9,2019,9,giovinazzi,alfa,10
perez_2019_9,2019,9,perez,racing_point,11
ricciardo_2019_9,2019,9,ricciardo,renault,12
hulkenberg_2019_9,2019,9,hulkenberg,renault,13
stroll_2019_9,2019,9,stroll,racing_point,14
albon_2019_9,2019,9,albon,toro_rosso,15
grosjean_2019_9,2019,9,grosjean,haas,16
kvyat_2019_9,2019,9,kvyat,toro_rosso,17
russell_2019_9,2019,9,russell,williams,18
kevin_magnussen_2019_9,2019,9,kevin_magnussen,haas,19
kubica_2019_9,2019,9,kubica,williams,20
hamilton_2019_10,2019,10,hamilton,mercedes,1
bottas_2019_10,2019,10,bottas,mercedes,2
leclerc_2019_10,2019,10,leclerc,ferrari,3
gasly_2019_10,2019,10,gasly,red_bull,4
max_verstappen_2019_10,2019,10,max_verstappen,red_bull,5
sainz_2019_10,2019,10,sainz,mclaren,6
ricciardo_2019_10,2019,10,ricciardo,renault,7
raikkonen_2019_10,2019,10,raikkonen,alfa,8
kvyat_2019_10,2019,10,kvyat,toro_rosso,9
hulkenberg_2019_10,2019,10,hulkenberg,renault,10
norris_2019_10,2019,10,norris,mclaren,11
albon_2019_10,2019,10,albon,toro_rosso,12
stroll_2019_10,2019,10,stroll,racing_point,13
russell_2019_10,2019,10,russell,williams,14
kubica_2019_10,2019,10,kubica,williams,15
vettel_2019_10,2019,10,vettel,ferrari,16
perez_2019_10,2019,10,perez,racing_point,17
max_verstappen_2019_11,2019,11,max_verstappen,red_bull,1
vettel_2019_11,2019,11,vettel,ferrari,2
kvyat_2019_11,2019,11,kvyat,toro_rosso,3
stroll_2019_11,2019,11,stroll,racing_point,4
sainz_2019_11,2019,11,sainz,mclaren,5
albon_2019_11,2019,11,albon,toro_rosso,6
grosjean_2019_11,2019,11,grosjean,haas,7
