AirTemp,Humidity,Rainfall,TrackTemp,WindSpeed,season,round
27.2,43.8,False,33.7,1.0,2018,6
27.2,44.2,False,34.0,1.4,2018,6
27.3,44.1,False,34.1,1.5,2018,6
27.2,44.1,False,33.8,0.8,2018,6
27.3,43.9,False,34.0,2.1,2018,6
27.4,43.8,False,34.4,0.9,2018,6
27.3,44.4,False,34.0,1.5,2018,6
27.2,45.2,False,33.8,1.5,2018,6
27.2,45.1,False,33.8,1.2,2018,6
27.2,45.6,False,34.1,1.5,2018,6
27.2,45.6,False,34.1,1.5,2018,6
27.2,44.9,False,34.3,2.2,2018,6
27.6,43.7,False,34.4,1.7,2018,6
27.5,43.9,False,34.5,1.6,2018,6
27.3,47.1,False,33.8,0.8,2018,6
27.3,47.1,False,33.8,0.8,2018,6
27.1,48.0,False,33.7,1.9,2018,6
27.0,48.4,False,33.8,1.3,2018,6
27.0,48.3,False,34.2,1.9,2018,6
27.4,46.1,False,34.4,0.9,2018,6
27.5,45.6,False,34.4,2.1,2018,6
27.5,45.1,False,34.5,2.2,2018,6
27.5,45.8,False,34.2,1.6,2018,6
27.5,45.8,False,34.2,1.6,2018,6
27.6,45.2,False,35.0,1.4,2018,6
27.6,45.3,False,35.2,1.1,2018,6
27.4,46.2,False,34.9,1.4,2018,6
27.5,45.7,False,34.9,1.3,2018,6
